orderid;custid;empid;orderdate;requireddate;shippeddate;shipperid;freight;shipname;shipaddress;shipcity;shipregion;shippostalcode;shipcountry
10285;63;1;2006-08-20 00:00:00.000;2006-09-17 00:00:00.000;2006-08-26 00:00:00.000;2;76,83;Ship to 63-B;Taucherstraße 2345;Cunewalde;NULL;10280;Germany
10286;63;8;2006-08-21 00:00:00.000;2006-09-18 00:00:00.000;2006-08-30 00:00:00.000;3;229,24;Ship to 63-B;Taucherstraße 2345;Cunewalde;NULL;10280;Germany
10287;67;8;2006-08-22 00:00:00.000;2006-09-19 00:00:00.000;2006-08-28 00:00:00.000;3;12,76;Ship to 67-A;Av. Copacabana, 3456;Rio de Janeiro;RJ;10291;Brazil
10288;66;4;2006-08-23 00:00:00.000;2006-09-20 00:00:00.000;2006-09-03 00:00:00.000;1;7,45;Ship to 66-C;Strada Provinciale 2345;Reggio Emilia;NULL;10290;Italy
10289;11;7;2006-08-26 00:00:00.000;2006-09-23 00:00:00.000;2006-08-28 00:00:00.000;3;22,77;Destination DLEUN;Fauntleroy Circus 4567;London;NULL;10132;UK
10290;15;8;2006-08-27 00:00:00.000;2006-09-24 00:00:00.000;2006-09-03 00:00:00.000;1;79,70;Destination HQZHO;Av. dos Lusíadas, 4567;Sao Paulo;SP;10142;Brazil
10291;61;6;2006-08-27 00:00:00.000;2006-09-24 00:00:00.000;2006-09-04 00:00:00.000;2;6,40;Ship to 61-A;Rua da Panificadora, 5678;Rio de Janeiro;RJ;10273;Brazil
10292;81;1;2006-08-28 00:00:00.000;2006-09-25 00:00:00.000;2006-09-02 00:00:00.000;2;1,35;Ship to 81-A;Av. Inês de Castro, 6789;Sao Paulo;SP;10335;Brazil
10293;80;1;2006-08-29 00:00:00.000;2006-09-26 00:00:00.000;2006-09-11 00:00:00.000;3;21,18;Ship to 80-B;Avda. Azteca 4567;México D.F.;NULL;10333;Mexico
10294;65;4;2006-08-30 00:00:00.000;2006-09-27 00:00:00.000;2006-09-05 00:00:00.000;2;147,26;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10295;85;2;2006-09-02 00:00:00.000;2006-09-30 00:00:00.000;2006-09-10 00:00:00.000;2;1,15;Ship to 85-C;7890 rue de l'Abbaye;Reims;NULL;10346;France
10296;46;6;2006-09-03 00:00:00.000;2006-10-01 00:00:00.000;2006-09-11 00:00:00.000;1;0,12;Ship to 46-C;Carrera 2345 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;10229;Venezuela
10297;7;5;2006-09-04 00:00:00.000;2006-10-16 00:00:00.000;2006-09-10 00:00:00.000;2;5,74;Ship to 7-C;2345, place Kléber;Strasbourg;NULL;10331;France
10298;37;6;2006-09-05 00:00:00.000;2006-10-03 00:00:00.000;2006-09-11 00:00:00.000;2;168,22;Destination ATSOA;4567 Johnstown Road;Cork;Co. Cork;10202;Ireland
10299;67;4;2006-09-06 00:00:00.000;2006-10-04 00:00:00.000;2006-09-13 00:00:00.000;2;29,76;Ship to 67-A;Av. Copacabana, 3456;Rio de Janeiro;RJ;10291;Brazil
10300;49;2;2006-09-09 00:00:00.000;2006-10-07 00:00:00.000;2006-09-18 00:00:00.000;2;17,68;Ship to 49-A;Via Ludovico il Moro 8901;Bergamo;NULL;10235;Italy
10301;86;8;2006-09-09 00:00:00.000;2006-10-07 00:00:00.000;2006-09-17 00:00:00.000;2;45,08;Ship to 86-A;Adenauerallee 8901;Stuttgart;NULL;10347;Germany
10302;76;4;2006-09-10 00:00:00.000;2006-10-08 00:00:00.000;2006-10-09 00:00:00.000;2;6,27;Ship to 76-B;Boulevard Tirou, 9012;Charleroi;NULL;10318;Belgium
10303;30;7;2006-09-11 00:00:00.000;2006-10-09 00:00:00.000;2006-09-18 00:00:00.000;2;107,83;Destination IIYDD;C/ Romero, 5678;Sevilla;NULL;10183;Spain
10304;80;1;2006-09-12 00:00:00.000;2006-10-10 00:00:00.000;2006-09-17 00:00:00.000;2;63,79;Ship to 80-C;Avda. Azteca 5678;México D.F.;NULL;10334;Mexico
10305;55;8;2006-09-13 00:00:00.000;2006-10-11 00:00:00.000;2006-10-09 00:00:00.000;3;257,62;Ship to 55-B;8901 Bering St.;Anchorage;AK;10256;USA
10306;69;1;2006-09-16 00:00:00.000;2006-10-14 00:00:00.000;2006-09-23 00:00:00.000;3;7,56;Ship to 69-B;Gran Vía, 0123;Madrid;NULL;10298;Spain
10307;48;2;2006-09-17 00:00:00.000;2006-10-15 00:00:00.000;2006-09-25 00:00:00.000;2;0,56;Ship to 48-B;6789 Chiaroscuro Rd.;Portland;OR;10233;USA
10308;2;7;2006-09-18 00:00:00.000;2006-10-16 00:00:00.000;2006-09-24 00:00:00.000;3;1,61;Destination QMVCI;Avda. de la Constitución 2345;México D.F.;NULL;10180;Mexico
10309;37;3;2006-09-19 00:00:00.000;2006-10-17 00:00:00.000;2006-10-23 00:00:00.000;1;47,30;Destination ATSOA;4567 Johnstown Road;Cork;Co. Cork;10202;Ireland
10310;77;8;2006-09-20 00:00:00.000;2006-10-18 00:00:00.000;2006-09-27 00:00:00.000;2;17,52;Ship to 77-B;2345 Jefferson Way Suite 2;Portland;OR;10321;USA
10311;18;1;2006-09-20 00:00:00.000;2006-10-04 00:00:00.000;2006-09-26 00:00:00.000;3;24,69;Destination SNPXM;0123, rue des Cinquante Otages;Nantes;NULL;10148;France
10312;86;2;2006-09-23 00:00:00.000;2006-10-21 00:00:00.000;2006-10-03 00:00:00.000;2;40,26;Ship to 86-B;Adenauerallee 9012;Stuttgart;NULL;10348;Germany
10313;63;2;2006-09-24 00:00:00.000;2006-10-22 00:00:00.000;2006-10-04 00:00:00.000;2;1,96;Ship to 63-A;Taucherstraße 1234;Cunewalde;NULL;10279;Germany
10314;65;1;2006-09-25 00:00:00.000;2006-10-23 00:00:00.000;2006-10-04 00:00:00.000;2;74,16;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10315;38;4;2006-09-26 00:00:00.000;2006-10-24 00:00:00.000;2006-10-03 00:00:00.000;2;41,76;Destination AXVHD;Garden House Crowther Way 9012;Cowes;Isle of Wight;10207;UK
10316;65;1;2006-09-27 00:00:00.000;2006-10-25 00:00:00.000;2006-10-08 00:00:00.000;3;150,15;Ship to 65-B;8901 Milton Dr.;Albuquerque;NM;10286;USA
10317;48;6;2006-09-30 00:00:00.000;2006-10-28 00:00:00.000;2006-10-10 00:00:00.000;1;12,69;Ship to 48-B;6789 Chiaroscuro Rd.;Portland;OR;10233;USA
10318;38;8;2006-10-01 00:00:00.000;2006-10-29 00:00:00.000;2006-10-04 00:00:00.000;2;4,73;Destination AXVHD;Garden House Crowther Way 9012;Cowes;Isle of Wight;10207;UK
10319;80;7;2006-10-02 00:00:00.000;2006-10-30 00:00:00.000;2006-10-11 00:00:00.000;3;64,50;Ship to 80-B;Avda. Azteca 4567;México D.F.;NULL;10333;Mexico
10320;87;5;2006-10-03 00:00:00.000;2006-10-17 00:00:00.000;2006-10-18 00:00:00.000;3;34,57;Ship to 87-A;Torikatu 1234;Oulu;NULL;10350;Finland
10321;38;3;2006-10-03 00:00:00.000;2006-10-31 00:00:00.000;2006-10-11 00:00:00.000;2;3,43;Destination LMVGS;Garden House Crowther Way 8901;Cowes;Isle of Wight;10206;UK
10322;58;7;2006-10-04 00:00:00.000;2006-11-01 00:00:00.000;2006-10-23 00:00:00.000;3;0,40;Ship to 58-A;Calle Dr. Jorge Cash 3456;México D.F.;NULL;10261;Mexico
10323;39;4;2006-10-07 00:00:00.000;2006-11-04 00:00:00.000;2006-10-14 00:00:00.000;1;4,88;Destination RMBHM;Maubelstr. 1234;Brandenburg;NULL;10209;Germany
10324;71;9;2006-10-08 00:00:00.000;2006-11-05 00:00:00.000;2006-10-10 00:00:00.000;1;214,27;Ship to 71-C;9012 Suffolk Ln.;Boise;ID;10307;USA
10325;39;1;2006-10-09 00:00:00.000;2006-10-23 00:00:00.000;2006-10-14 00:00:00.000;3;64,86;Destination RMBHM;Maubelstr. 1234;Brandenburg;NULL;10209;Germany
10326;8;4;2006-10-10 00:00:00.000;2006-11-07 00:00:00.000;2006-10-14 00:00:00.000;2;77,92;Ship to 8-A;C/ Araquil, 0123;Madrid;NULL;10359;Spain
10327;24;2;2006-10-11 00:00:00.000;2006-11-08 00:00:00.000;2006-10-14 00:00:00.000;1;63,36;Destination NCKKO;Åkergatan 7890;Bräcke;NULL;10165;Sweden
10328;28;4;2006-10-14 00:00:00.000;2006-11-11 00:00:00.000;2006-10-17 00:00:00.000;3;87,03;Destination CIRQO;Jardim das rosas n. 8901;Lisboa;NULL;10176;Portugal
10329;75;4;2006-10-15 00:00:00.000;2006-11-26 00:00:00.000;2006-10-23 00:00:00.000;2;191,67;Ship to 75-C;P.O. Box 7890;Lander;WY;10316;USA
10330;46;3;2006-10-16 00:00:00.000;2006-11-13 00:00:00.000;2006-10-28 00:00:00.000;1;12,75;Ship to 46-A;Carrera 0123 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;10227;Venezuela
10331;9;9;2006-10-16 00:00:00.000;2006-11-27 00:00:00.000;2006-10-21 00:00:00.000;1;10,19;Ship to 9-C;0123, rue des Bouchers;Marseille;NULL;10369;France
10332;51;3;2006-10-17 00:00:00.000;2006-11-28 00:00:00.000;2006-10-21 00:00:00.000;2;52,84;Ship to 51-B;7890 rue St. Laurent;Montréal;Québec;10245;Canada
10333;87;5;2006-10-18 00:00:00.000;2006-11-15 00:00:00.000;2006-10-25 00:00:00.000;3;0,59;Ship to 87-C;Torikatu 3456;Oulu;NULL;10352;Finland
10334;84;8;2006-10-21 00:00:00.000;2006-11-18 00:00:00.000;2006-10-28 00:00:00.000;2;8,56;Ship to 84-B;4567, rue du Commerce;Lyon;NULL;10343;France
10335;37;7;2006-10-22 00:00:00.000;2006-11-19 00:00:00.000;2006-10-24 00:00:00.000;2;42,11;Destination ATSOA;4567 Johnstown Road;Cork;Co. Cork;10202;Ireland
10336;60;7;2006-10-23 00:00:00.000;2006-11-20 00:00:00.000;2006-10-25 00:00:00.000;2;15,51;Ship to 60-B;Estrada da saúde n. 3456;Lisboa;NULL;10271;Portugal
10337;25;4;2006-10-24 00:00:00.000;2006-11-21 00:00:00.000;2006-10-29 00:00:00.000;3;108,26;Destination QOCBL;Berliner Platz 1234;München;NULL;10169;Germany
10338;55;4;2006-10-25 00:00:00.000;2006-11-22 00:00:00.000;2006-10-29 00:00:00.000;3;84,21;Ship to 55-C;9012 Bering St.;Anchorage;AK;10257;USA
10339;51;2;2006-10-28 00:00:00.000;2006-11-25 00:00:00.000;2006-11-04 00:00:00.000;2;15,66;Ship to 51-C;8901 rue St. Laurent;Montréal;Québec;10246;Canada
10340;9;1;2006-10-29 00:00:00.000;2006-11-26 00:00:00.000;2006-11-08 00:00:00.000;3;166,31;Ship to 9-A;8901, rue des Bouchers;Marseille;NULL;10367;France
10341;73;7;2006-10-29 00:00:00.000;2006-11-26 00:00:00.000;2006-11-05 00:00:00.000;3;26,78;Ship to 73-A;Vinbæltet 1234;Kobenhavn;NULL;10310;Denmark
10342;25;4;2006-10-30 00:00:00.000;2006-11-13 00:00:00.000;2006-11-04 00:00:00.000;2;54,83;Destination VAPXU;Berliner Platz 0123;München;NULL;10168;Germany
10343;44;4;2006-10-31 00:00:00.000;2006-11-28 00:00:00.000;2006-11-06 00:00:00.000;1;110,37;Ship to 44-A;Magazinweg 4567;Frankfurt a.M.;NULL;10222;Germany
10344;89;4;2006-11-01 00:00:00.000;2006-11-29 00:00:00.000;2006-11-05 00:00:00.000;2;23,29;Ship to 89-A;7890 - 12th Ave. S.;Seattle;WA;10356;USA
10345;63;2;2006-11-04 00:00:00.000;2006-12-02 00:00:00.000;2006-11-11 00:00:00.000;2;249,06;Ship to 63-B;Taucherstraße 2345;Cunewalde;NULL;10280;Germany
10346;65;3;2006-11-05 00:00:00.000;2006-12-17 00:00:00.000;2006-11-08 00:00:00.000;3;142,08;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10347;21;4;2006-11-06 00:00:00.000;2006-12-04 00:00:00.000;2006-11-08 00:00:00.000;3;3,10;Destination KKELL;Rua Orós, 4567;Sao Paulo;SP;10162;Brazil
10348;86;4;2006-11-07 00:00:00.000;2006-12-05 00:00:00.000;2006-11-15 00:00:00.000;2;0,78;Ship to 86-B;Adenauerallee 9012;Stuttgart;NULL;10348;Germany
10349;75;7;2006-11-08 00:00:00.000;2006-12-06 00:00:00.000;2006-11-15 00:00:00.000;1;8,63;Ship to 75-C;P.O. Box 7890;Lander;WY;10316;USA
10350;41;6;2006-11-11 00:00:00.000;2006-12-09 00:00:00.000;2006-12-03 00:00:00.000;2;64,19;Destination DWJIO;9012 rue Alsace-Lorraine;Toulouse;NULL;10217;France
10351;20;1;2006-11-11 00:00:00.000;2006-12-09 00:00:00.000;2006-11-20 00:00:00.000;1;162,33;Destination RVDMF;Kirchgasse 9012;Graz;NULL;10157;Austria
10352;28;3;2006-11-12 00:00:00.000;2006-11-26 00:00:00.000;2006-11-18 00:00:00.000;3;1,30;Destination OTSWR;Jardim das rosas n. 9012;Lisboa;NULL;10177;Portugal
10353;59;7;2006-11-13 00:00:00.000;2006-12-11 00:00:00.000;2006-11-25 00:00:00.000;3;360,63;Ship to 59-B;Geislweg 7890;Salzburg;NULL;10265;Austria
10354;58;8;2006-11-14 00:00:00.000;2006-12-12 00:00:00.000;2006-11-20 00:00:00.000;3;53,80;Ship to 58-C;Calle Dr. Jorge Cash 5678;México D.F.;NULL;10263;Mexico
10355;4;6;2006-11-15 00:00:00.000;2006-12-13 00:00:00.000;2006-11-20 00:00:00.000;1;41,95;Ship to 4-A;Brook Farm Stratford St. Mary 0123;Colchester;Essex;10238;UK
10356;86;6;2006-11-18 00:00:00.000;2006-12-16 00:00:00.000;2006-11-27 00:00:00.000;2;36,71;Ship to 86-A;Adenauerallee 8901;Stuttgart;NULL;10347;Germany
10357;46;1;2006-11-19 00:00:00.000;2006-12-17 00:00:00.000;2006-12-02 00:00:00.000;3;34,88;Ship to 46-B;Carrera 1234 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;10228;Venezuela
10358;41;5;2006-11-20 00:00:00.000;2006-12-18 00:00:00.000;2006-11-27 00:00:00.000;1;19,64;Ship to 41-C;0123 rue Alsace-Lorraine;Toulouse;NULL;10218;France
10359;72;5;2006-11-21 00:00:00.000;2006-12-19 00:00:00.000;2006-11-26 00:00:00.000;3;288,43;Ship to 72-C;1234 Wadhurst Rd.;London;NULL;10309;UK
10360;7;4;2006-11-22 00:00:00.000;2006-12-20 00:00:00.000;2006-12-02 00:00:00.000;3;131,70;Ship to 7-C;2345, place Kléber;Strasbourg;NULL;10331;France
10361;63;1;2006-11-22 00:00:00.000;2006-12-20 00:00:00.000;2006-12-03 00:00:00.000;2;183,17;Ship to 63-C;Taucherstraße 3456;Cunewalde;NULL;10281;Germany
10362;9;3;2006-11-25 00:00:00.000;2006-12-23 00:00:00.000;2006-11-28 00:00:00.000;1;96,04;Ship to 9-B;9012, rue des Bouchers;Marseille;NULL;10368;France
10363;17;4;2006-11-26 00:00:00.000;2006-12-24 00:00:00.000;2006-12-04 00:00:00.000;3;30,54;Destination BJCXA;Walserweg 7890;Aachen;NULL;10145;Germany
10364;19;1;2006-11-26 00:00:00.000;2007-01-07 00:00:00.000;2006-12-04 00:00:00.000;1;71,97;Destination QTKCU;3456 King George;London;NULL;10151;UK
10365;3;3;2006-11-27 00:00:00.000;2006-12-25 00:00:00.000;2006-12-02 00:00:00.000;2;22,00;Destination FQFLS;Mataderos  3456;México D.F.;NULL;10211;Mexico
10366;29;8;2006-11-28 00:00:00.000;2007-01-09 00:00:00.000;2006-12-30 00:00:00.000;2;10,14;Destination VPNNG;Rambla de Cataluña, 0123;Barcelona;NULL;10178;Spain
10367;83;7;2006-11-28 00:00:00.000;2006-12-26 00:00:00.000;2006-12-02 00:00:00.000;3;13,55;Ship to 83-B;Smagsloget 1234;Århus;NULL;10340;Denmark
10368;20;2;2006-11-29 00:00:00.000;2006-12-27 00:00:00.000;2006-12-02 00:00:00.000;2;101,95;Destination RVDMF;Kirchgasse 9012;Graz;NULL;10157;Austria
10369;75;8;2006-12-02 00:00:00.000;2006-12-30 00:00:00.000;2006-12-09 00:00:00.000;2;195,68;Ship to 75-C;P.O. Box 7890;Lander;WY;10316;USA
10370;14;6;2006-12-03 00:00:00.000;2006-12-31 00:00:00.000;2006-12-27 00:00:00.000;2;1,17;Destination YUJRD;Hauptstr. 1234;Bern;NULL;10139;Switzerland
10371;41;1;2006-12-03 00:00:00.000;2006-12-31 00:00:00.000;2006-12-24 00:00:00.000;1;0,45;Ship to 41-C;0123 rue Alsace-Lorraine;Toulouse;NULL;10218;France
10372;62;5;2006-12-04 00:00:00.000;2007-01-01 00:00:00.000;2006-12-09 00:00:00.000;2;890,78;Ship to 62-A;Alameda dos Canàrios, 8901;Sao Paulo;SP;10276;Brazil
10373;37;4;2006-12-05 00:00:00.000;2007-01-02 00:00:00.000;2006-12-11 00:00:00.000;3;124,12;Destination KPVYJ;5678 Johnstown Road;Cork;Co. Cork;10203;Ireland
10374;91;1;2006-12-05 00:00:00.000;2007-01-02 00:00:00.000;2006-12-09 00:00:00.000;3;3,94;Ship to 91-A;ul. Filtrowa 5678;Warszawa;NULL;10364;Poland
10375;36;3;2006-12-06 00:00:00.000;2007-01-03 00:00:00.000;2006-12-09 00:00:00.000;2;20,12;Destination HOHCR;City Center Plaza 3456 Main St.;Elgin;OR;10201;USA
10376;51;1;2006-12-09 00:00:00.000;2007-01-06 00:00:00.000;2006-12-13 00:00:00.000;2;20,39;Ship to 51-B;7890 rue St. Laurent;Montréal;Québec;10245;Canada
10377;72;1;2006-12-09 00:00:00.000;2007-01-06 00:00:00.000;2006-12-13 00:00:00.000;3;22,21;Ship to 72-C;1234 Wadhurst Rd.;London;NULL;10309;UK
10378;24;5;2006-12-10 00:00:00.000;2007-01-07 00:00:00.000;2006-12-19 00:00:00.000;3;5,44;Destination KBSBN;Åkergatan 9012;Bräcke;NULL;10167;Sweden
10379;61;2;2006-12-11 00:00:00.000;2007-01-08 00:00:00.000;2006-12-13 00:00:00.000;1;45,03;Ship to 61-B;Rua da Panificadora, 6789;Rio de Janeiro;RJ;10274;Brazil
10380;37;8;2006-12-12 00:00:00.000;2007-01-09 00:00:00.000;2007-01-16 00:00:00.000;3;35,03;Destination KPVYJ;5678 Johnstown Road;Cork;Co. Cork;10203;Ireland
10381;46;3;2006-12-12 00:00:00.000;2007-01-09 00:00:00.000;2006-12-13 00:00:00.000;3;7,99;Ship to 46-C;Carrera 2345 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;10229;Venezuela
10382;20;4;2006-12-13 00:00:00.000;2007-01-10 00:00:00.000;2006-12-16 00:00:00.000;1;94,77;Destination FFXKT;Kirchgasse 0123;Graz;NULL;10158;Austria
10383;4;8;2006-12-16 00:00:00.000;2007-01-13 00:00:00.000;2006-12-18 00:00:00.000;3;34,24;Ship to 4-B;Brook Farm Stratford St. Mary 1234;Colchester;Essex;10239;UK
10384;5;3;2006-12-16 00:00:00.000;2007-01-13 00:00:00.000;2006-12-20 00:00:00.000;3;168,64;Ship to 5-C;Berguvsvägen  1234;Luleå;NULL;10269;Sweden
10385;75;1;2006-12-17 00:00:00.000;2007-01-14 00:00:00.000;2006-12-23 00:00:00.000;2;30,96;Ship to 75-B;P.O. Box 6789;Lander;WY;10315;USA
10386;21;9;2006-12-18 00:00:00.000;2007-01-01 00:00:00.000;2006-12-25 00:00:00.000;3;13,99;Destination RNSMS;Rua Orós, 2345;Sao Paulo;SP;10160;Brazil
10387;70;1;2006-12-18 00:00:00.000;2007-01-15 00:00:00.000;2006-12-20 00:00:00.000;2;93,63;Ship to 70-B;Erling Skakkes gate 5678;Stavern;NULL;10303;Norway
10388;72;2;2006-12-19 00:00:00.000;2007-01-16 00:00:00.000;2006-12-20 00:00:00.000;1;34,86;Ship to 72-C;1234 Wadhurst Rd.;London;NULL;10309;UK
10389;10;4;2006-12-20 00:00:00.000;2007-01-17 00:00:00.000;2006-12-24 00:00:00.000;2;47,42;Destination OLSSJ;2345 Tsawassen Blvd.;Tsawassen;BC;10130;Canada
10390;20;6;2006-12-23 00:00:00.000;2007-01-20 00:00:00.000;2006-12-26 00:00:00.000;1;126,38;Destination RVDMF;Kirchgasse 9012;Graz;NULL;10157;Austria
